Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2009,-97,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2010,-52,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2515,Rye and products,2011,-97,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1961,625,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1962,94,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1963,-523,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1964,500,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1965,-782,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1966,998,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1967,-21,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1968,-1594,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1969,-1822,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1970,-316,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1971,-545,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1972,2084,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1973,2210,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1974,1422,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1975,296,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1976,629,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1977,-2185,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1978,498,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1979,635,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1980,818,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1981,428,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1982,-958,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1983,820,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1984,94,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1985,-114,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1986,782,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1987,455,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1988,284,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1989,-1195,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1990,-321,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1991,528,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1992,-85,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1993,159,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1994,-378,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1995,331,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1996,360,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1997,-234,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1998,-277,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,1999,-166,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2000,159,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2001,-434,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2002,124,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2003,-463,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2004,-32,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2005,-279,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2006,-260,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2007,-378,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2008,-791,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2009,-271,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2010,-108,S,Standardized data
FBS,Food Balance Sheets,231,United States of America,5072,Stock Variation,2516,Oats,2011,109,S,Standardized data
